time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444400000	7.85068	0.793986	5.13784	0.0400631	0.00341289	lidar	0.469257	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10086	0.810443	5.08184	0.0426962	0.0055015	radar	2.38913	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.33832	0.828878	5.06118	0.0472465	0.0108743	lidar	0.436792	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.6065	0.914089	5.15026	0.0843879	0.0560495	radar	7.09313	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84385	0.973508	5.12708	0.105863	0.0785004	lidar	0.881321	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13281	1.0105	5.18485	0.113068	0.0820042	radar	6.78496	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37009	1.04521	5.15934	0.120277	0.0859189	lidar	0.68317	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64899	1.11522	5.21146	0.141545	0.105691	radar	4.62698	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92211	1.24258	5.24208	0.187579	0.153432	lidar	3.4485	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1714	1.32924	5.18439	0.213638	0.176369	radar	4.88543	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3968	1.41219	5.15367	0.236258	0.193063	lidar	1.30106	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6296	1.49421	5.06651	0.258522	0.210486	radar	4.12858	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8553	1.52986	5.03518	0.256759	0.196405	lidar	1.15511	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1205	1.58062	5.07728	0.257808	0.18505	radar	1.85451	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3991	1.63073	5.11602	0.257248	0.172911	lidar	1.87386	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6307	1.68759	5.06915	0.263879	0.171572	radar	0.859788	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8606	1.75458	5.05114	0.273689	0.173232	lidar	0.35246	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1161	1.84303	5.10817	0.288516	0.179086	radar	1.44536	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3586	1.87562	5.09124	0.279304	0.157693	lidar	0.605517	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6142	1.93659	5.13619	0.28025	0.148002	radar	0.9461	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8148	2.07031	5.10213	0.319892	0.186451	lidar	3.42352	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.081	2.17635	5.19399	0.33512	0.19045	radar	3.52987	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2845	2.31759	5.16551	0.373453	0.224725	lidar	2.65871	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4657	2.46002	5.05212	0.416305	0.267047	radar	11.0269	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7148	2.57804	5.08265	0.433529	0.271283	lidar	0.882457	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9347	2.69053	5.06113	0.451207	0.277293	radar	0.224421	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1632	2.84519	5.08664	0.483242	0.298261	lidar	0.704939	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4127	2.9547	5.15408	0.48601	0.279306	radar	1.47987	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6191	3.03018	5.10181	0.483533	0.260786	lidar	2.16714	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8502	3.18215	5.1617	0.506284	0.268706	radar	3.85511	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0577	3.37444	5.18459	0.549912	0.303571	lidar	1.23227	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2692	3.53964	5.16948	0.580863	0.324972	radar	2.58737	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4827	3.72772	5.20017	0.615425	0.345814	lidar	0.733022	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6943	3.86227	5.18606	0.625883	0.338335	radar	0.951219	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9156	4.00711	5.19353	0.636844	0.331349	lidar	0.209216	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1114	4.17026	5.14603	0.66374	0.349563	radar	1.79623	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.309	4.36524	5.17164	0.695286	0.365425	lidar	0.424992	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5189	4.52937	5.18887	0.7086	0.358495	radar	0.635319	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6973	4.6981	5.16994	0.729612	0.362305	lidar	0.485758	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8508	4.89035	5.07554	0.774271	0.406742	radar	4.62423	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0156	5.1148	5.10436	0.814351	0.428964	lidar	0.636054	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1852	5.28577	5.06989	0.833598	0.430095	radar	1.73701	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3448	5.4672	5.05388	0.854499	0.429655	lidar	0.213327	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5006	5.63756	5.00339	0.874516	0.433211	radar	3.25514	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6936	5.76239	4.96085	0.864066	0.397399	lidar	1.77794	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8368	5.95923	4.92209	0.896505	0.419213	radar	1.1283	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0112	6.14894	4.93735	0.909764	0.410279	lidar	0.722043	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1605	6.35642	4.94937	0.934028	0.414569	radar	0.688906	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2827	6.59256	4.97239	0.972482	0.434312	lidar	0.58149	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4142	6.80617	4.96633	1.0003	0.443901	radar	0.268376	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5622	6.94433	4.89232	0.996069	0.415157	lidar	2.10155	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.711	7.15084	4.92563	1.00658	0.397732	radar	0.634056	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9075	7.29023	4.88744	0.985591	0.352434	lidar	4.03325	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9958	7.49413	4.81583	1.02555	0.388439	radar	4.07859	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0876	7.75471	4.86202	1.06975	0.415695	lidar	1.19426	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2082	7.96212	4.8628	1.08523	0.408047	radar	0.282837	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2879	8.17752	4.84228	1.11575	0.419459	lidar	1.40564	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3869	8.38846	4.84429	1.13235	0.409522	radar	2.27468	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4818	8.5374	4.74757	1.13682	0.392851	lidar	3.9186	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5728	8.74643	4.72367	1.15989	0.400496	radar	0.575442	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.734	8.92073	4.7031	1.14576	0.363237	lidar	4.16676	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8075	9.14227	4.67895	1.17886	0.387233	radar	1.01838	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9377	9.36707	4.71108	1.18479	0.372283	lidar	2.97865	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9835	9.58867	4.66001	1.22881	0.413326	radar	2.74724	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0711	9.82776	4.69142	1.2493	0.41289	lidar	0.736155	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1316	10.0759	4.73239	1.27572	0.414434	radar	7.13378	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.18	10.3473	4.78748	1.31199	0.430795	lidar	0.914983	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1966	10.5825	4.75225	1.35897	0.470261	radar	3.04089	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2551	10.8551	4.81284	1.38542	0.472719	lidar	2.01142	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2841	11.1108	4.84133	1.4149	0.476075	radar	4.88918	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3183	11.3499	4.84082	1.43878	0.476162	lidar	0.000317135	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2653	11.5975	4.79209	1.51428	0.556918	radar	11.01	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3366	11.8388	4.80517	1.5191	0.532249	lidar	4.66326	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3619	12.073	4.82326	1.52562	0.493538	radar	3.56939	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3487	12.3596	4.88963	1.56315	0.505889	lidar	1.15656	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2993	12.5978	4.85244	1.62092	0.560092	radar	3.40014	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3241	12.8378	4.84973	1.63337	0.543838	lidar	1.7847	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3114	13.069	4.82984	1.66025	0.547366	radar	2.11113	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2764	13.2831	4.79155	1.68995	0.550532	lidar	1.04835	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2377	13.5175	4.7922	1.71699	0.545934	radar	1.28456	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2168	13.7764	4.82356	1.73845	0.539272	lidar	1.28203	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1611	14.0037	4.80466	1.77504	0.556769	radar	0.892264	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1056	14.2591	4.83718	1.80437	0.557719	lidar	0.35209	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0337	14.4878	4.83289	1.83631	0.561055	radar	1.3951	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9251	14.7424	4.87983	1.87961	0.575948	lidar	1.26326	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8584	14.9604	4.86188	1.8974	0.554606	radar	3.37564	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8271	15.1786	4.82648	1.90733	0.536997	lidar	2.11629	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6953	15.3888	4.80038	1.98099	0.625545	radar	8.04817	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6657	15.578	4.72451	1.98905	0.603113	lidar	3.54142	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5719	15.783	4.70936	2.01599	0.597313	radar	1.33146	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.468	15.9967	4.71325	2.04537	0.59673	lidar	0.0116384	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3665	16.2047	4.71195	2.06216	0.569432	radar	1.79653	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2569	16.3825	4.66921	2.09205	0.571732	lidar	0.694434	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1391	16.579	4.66221	2.12187	0.574869	radar	0.275199	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0085	16.7893	4.68513	2.15083	0.574646	lidar	0.14121	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8518	16.9818	4.69809	2.20846	0.632757	radar	6.62157	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6779	17.2172	4.78808	2.24304	0.633956	lidar	1.85039	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.575	17.4208	4.77071	2.23007	0.551606	radar	6.03651	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3609	17.6127	4.83186	2.27739	0.570274	lidar	3.86988	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2248	17.8037	4.82278	2.28179	0.523892	radar	2.44376	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0925	17.9895	4.80538	2.29873	0.51494	lidar	0.905275	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.917	18.1448	4.79048	2.34091	0.543863	radar	1.93563	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7855	18.2873	4.72156	2.36272	0.539734	lidar	1.08877	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6524	18.4682	4.70544	2.37017	0.512514	radar	6.6972	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4573	18.6497	4.75329	2.39829	0.514183	lidar	0.49274	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2769	18.7911	4.73775	2.43261	0.528819	radar	1.73542	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1154	18.9275	4.69907	2.45723	0.527636	lidar	0.32235	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9481	19.0978	4.7068	2.46931	0.506987	radar	3.07602	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.731	19.2135	4.70935	2.50963	0.521966	lidar	2.68617	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.541	19.3669	4.72721	2.53312	0.522251	radar	3.2404	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3155	19.5281	4.79154	2.55887	0.520778	lidar	0.870065	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0929	19.6118	4.77309	2.60863	0.554774	radar	10.0555	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8874	19.7558	4.79695	2.62896	0.546928	lidar	0.776506	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6989	19.8799	4.76764	2.63523	0.505566	radar	3.24914	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4677	20.0329	4.83189	2.65336	0.497178	lidar	1.36391	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2561	20.175	4.85434	2.66465	0.477598	radar	5.71516	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0674	20.3062	4.83897	2.67653	0.465894	lidar	1.87822	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8372	20.3893	4.83854	2.71298	0.484956	radar	2.10438	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6214	20.5083	4.84961	2.72985	0.477429	lidar	0.644579	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3846	20.596	4.86852	2.76493	0.498842	radar	1.2667	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1382	20.6703	4.88403	2.7968	0.505509	lidar	0.715589	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9009	20.7422	4.8936	2.83133	0.52357	radar	0.378023	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.627	20.8063	4.94277	2.86565	0.530837	lidar	1.71539	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3781	20.8381	4.95186	2.91721	0.576095	radar	2.46362	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1325	20.8796	4.95024	2.94979	0.579897	lidar	0.167062	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9	20.9381	4.94261	2.97184	0.571897	radar	1.75743	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.701	20.9817	4.88175	2.99428	0.567158	lidar	1.94258	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4476	21.0225	4.90625	3.02253	0.569317	radar	2.56854	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2013	21.0598	4.91572	3.04714	0.565181	lidar	0.138221	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9621	21.0798	4.91367	3.07825	0.573293	radar	0.972	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.72	21.0507	4.89134	3.12135	0.588505	lidar	1.93107	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4722	21.0374	4.89198	3.15691	0.595884	radar	1.09441	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2572	21.0306	4.84884	3.1857	0.596027	lidar	0.700902	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0023	20.9924	4.86266	3.22526	0.606817	radar	4.15962	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7929	20.9541	4.81058	3.26084	0.613675	lidar	0.611755	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5455	20.9521	4.7984	3.26823	0.570838	radar	5.53301	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2649	20.9792	4.87373	3.27306	0.544059	lidar	3.36835	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0264	20.9605	4.86848	3.29258	0.533781	radar	1.02264	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83339	20.9207	4.79822	3.32133	0.537798	lidar	1.67461	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60104	20.9108	4.7616	3.32199	0.491518	radar	2.40968	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40837	20.8582	4.70027	3.35176	0.498415	lidar	1.00688	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18813	20.8164	4.68851	3.37399	0.49661	radar	1.47267	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8947	20.7849	4.78664	3.3841	0.479103	lidar	2.29366	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68076	20.7057	4.76483	3.41809	0.491964	radar	4.40567	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40393	20.6221	4.83835	3.44403	0.491775	lidar	2.79695	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17574	20.5422	4.84178	3.47253	0.498499	radar	0.0812993	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.933	20.4622	4.86364	3.49527	0.495759	lidar	0.135293	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71693	20.3762	4.86744	3.52726	0.512809	radar	3.46242	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40763	20.3182	4.98433	3.52819	0.484557	lidar	3.51776	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17609	20.2217	4.98119	3.55019	0.479328	radar	0.229333	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91106	20.139	5.03101	3.56174	0.465354	lidar	0.704186	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.68634	20.0473	5.01274	3.57791	0.453995	radar	0.511012	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43802	19.956	5.03969	3.59095	0.443406	lidar	0.346198	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22164	19.8624	5.02004	3.60821	0.438621	radar	2.86733	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.95827	19.7689	5.06982	3.61552	0.422461	lidar	0.822517	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72816	19.6238	5.11317	3.65233	0.449412	radar	1.90243	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55186	19.501	5.04769	3.68168	0.457805	lidar	1.39956	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35024	19.3521	5.04252	3.71441	0.470654	radar	1.74748	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13716	19.2505	5.02891	3.72495	0.457329	lidar	1.94912	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94661	19.1383	4.96607	3.73597	0.436453	radar	4.67308	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78392	18.9876	4.91505	3.76994	0.450355	lidar	0.715964	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.5747	18.8377	4.95002	3.79469	0.458124	radar	1.49257	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.39749	18.706	4.91473	3.81504	0.45616	lidar	1.12461	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21657	18.5636	4.87003	3.83055	0.440675	radar	1.3397	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.09181	18.4088	4.78973	3.8675	0.458481	lidar	2.00126	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.90559	18.2368	4.87087	3.90399	0.490932	radar	7.26383	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
